Person,Sex,Age,Race,Educ,Income,Testimony,InstructionType,Verdict
354,Male,1988,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,NJ,not guilty
355,Female,1977,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",weak,RI,guilty
356,Female,1988,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,RI,not guilty
357,Female,1979,White,High school graduate (diploma or GED),"$20,000 to $29,999",weak,NJ,guilty
358,Female,1989,White,"Bachelor's degree (e.g., BA, AB, BS)","$70,000 to $79,999",weak,RI,not guilty
359,Female,1962,White,Some college credit,"$90,000 to $99,999",strong,RI,guilty
360,Female,1947,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",strong,NJ,not guilty
361,Female,1982,White,"Bachelor's degree (e.g., BA, AB, BS)","$80,000 to $89,999",weak,NJ,not guilty
362,Female,1986,White,"Bachelor's degree (e.g., BA, AB, BS)","$200,000 or more",strong,RI,not guilty
363,Female,1963,White,"Associate degree (e.g., AA, AS)","$20,000 to $29,999",strong,NJ,guilty
364,Female,1966,White,Some college credit,"$30,000 to $39,999",weak,RI,guilty
365,Female,1984,White,Some college credit,"$40,000 to $49,999",strong,NJ,not guilty
366,Female,1970,Black or African American,"Associate degree (e.g., AA, AS)","$50,000 to $59,999",strong,NJ,not guilty
367,Female,1976,White,Some college credit,"$30,000 to $39,999",weak,NJ,not guilty
368,Female,1984,White,Some college credit,"$20,000 to $29,999",strong,RI,guilty
369,Male,1983,White,Some college credit,"Less than $10,000",weak,NJ,guilty
370,Female,1980,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",strong,RI,guilty
371,Female,1954,White,Some high school,"$20,000 to $29,999",weak,NJ,guilty
372,Female,1957,White,"Associate degree (e.g., AA, AS)","$70,000 to $79,999",weak,NJ,guilty
373,Male,1965,Asian,"Bachelor's degree (e.g., BA, AB, BS)","$30,000 to $39,999",weak,NJ,not guilty
